event_id,game_id,home_team,away_team,home_team_id,away_team_id,home_is_d1,away_is_d1,filter_reason
401823375,401823375,IU Indianapolis Jaguars,IU Columbus Crimson Pride,85,130262,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401823408,401823408,Wright State Raiders,Toledo Rockets,2750,2649,True,True,KEEP_D1_VS_D1
401823427,401823427,DePaul Blue Demons,Buffalo Bulls,305,2084,True,True,KEEP_D1_VS_D1
401823433,401823433,North Alabama Lions,Northwestern State Demons,2453,2466,True,True,KEEP_D1_VS_D1
401823476,401823476,Auburn Tigers,Wofford Terriers,2,2747,True,True,KEEP_D1_VS_D1
401823523,401823523,Abilene Christian Wildcats,Southwestern Adventist Knights,2000,2903,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401823540,401823540,Southern Utah Thunderbirds,Bethesda University Flames,253,3246,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401823551,401823551,Cal State Bakersfield Roadrunners,Western Illinois Leathernecks,2934,2710,True,True,KEEP_D1_VS_D1
401823563,401823563,Villanova Wildcats,Sacred Heart Pioneers,222,2529,True,True,KEEP_D1_VS_D1
401823757,401823757,Wyoming Cowboys,Austin Peay Governors,2751,2046,True,True,KEEP_D1_VS_D1
401823815,401823815,Boise State Broncos,UT Rio Grande Valley Vaqueros,68,292,True,True,KEEP_D1_VS_D1
401824039,401824039,UTEP Miners,Loyola Marymount Lions,2638,2351,True,True,KEEP_D1_VS_D1
401824069,401824069,Pepperdine Waves,Lincoln University (CA) Oaklanders,2492,124946,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401824303,401824303,Kansas City Roos,Iona Gaels,140,314,True,True,KEEP_D1_VS_D1
401824825,401824825,UCF Knights,Florida A&M Rattlers,2116,50,True,True,KEEP_D1_VS_D1
401824935,401824935,Arkansas Razorbacks,Central Arkansas Bears,8,2110,True,True,KEEP_D1_VS_D1
401824947,401824947,UNC Asheville Bulldogs,Lipscomb Bisons,2427,288,True,True,KEEP_D1_VS_D1
401825588,401825588,Arizona Wildcats,Northern Arizona Lumberjacks,12,2464,True,True,KEEP_D1_VS_D1
401826043,401826043,New Mexico Lobos,UC Riverside Highlanders,167,27,True,True,KEEP_D1_VS_D1
401826699,401826699,George Mason Patriots,Catawba Chiefs,2244,2107,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401826707,401826707,Florida Gators,Florida State Seminoles,57,52,True,True,KEEP_D1_VS_D1
401826733,401826733,Ohio State Buckeyes,App State Mountaineers,194,2026,True,True,KEEP_D1_VS_D1
401826777,401826777,Oklahoma Sooners,Arkansas-Pine Bluff Golden Lions,201,2029,True,True,KEEP_D1_VS_D1
401826797,401826797,Ole Miss Rebels,Memphis Tigers,145,235,True,True,KEEP_D1_VS_D1
401826805,401826805,Rice Owls,Stephen F. Austin Lumberjacks,242,2617,True,True,KEEP_D1_VS_D1
401826844,401826844,Louisiana Ragin' Cajuns,Tulane Green Wave,309,2655,True,True,KEEP_D1_VS_D1
401826851,401826851,UAB Blazers,Alabama State Hornets,5,2011,True,True,KEEP_D1_VS_D1
401826928,401826928,Sacramento State Hornets,UC Santa Barbara Gauchos,16,2540,True,True,KEEP_D1_VS_D1
401826996,401826996,Tarleton State Texans,Merrimack Warriors,2627,2771,True,True,KEEP_D1_VS_D1
401827066,401827066,Coastal Carolina Chanticleers,Winthrop Eagles,324,2737,True,True,KEEP_D1_VS_D1
401827109,401827109,Bethune-Cookman Wildcats,Coastal Georgia Mariner,2065,3189,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401827209,401827209,Troy Trojans,Pensacola Christian College PENSACOLA CHRISTIAN,2653,3173,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401827216,401827216,Maryland Terrapins,Alcorn State Braves,120,2016,True,True,KEEP_D1_VS_D1
401827495,401827495,Stony Brook Seawolves,Saint Josephs Long Island Golden Eagles,2619,3196,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401827497,401827497,Towson Tigers,Wilson College WILSON,119,111914,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401827512,401827512,Colgate Raiders,Drexel Dragons,2142,2182,True,True,KEEP_D1_VS_D1
401828267,401828267,UAlbany Great Danes,SUNY Delhi Broncos,399,126848,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401828496,401828496,Incarnate Word Cardinals,Southwestern Christian Eagles,2916,3238,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401828720,401828720,Old Dominion Monarchs,Norfolk State Spartans,295,2450,True,True,KEEP_D1_VS_D1
401828920,401828920,UIC Flames,St. Francis (IL) Fighting Saints,82,2595,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401829049,401829049,Saint Mary's Gaels,Ohio Bobcats,2608,195,True,True,KEEP_D1_VS_D1
401829385,401829385,Tennessee State Tigers,Oakwood Ambassadors,2634,3083,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401829455,401829455,North Dakota Fighting Hawks,Mayville St Comets,155,561,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401830630,401830630,New Mexico State Aggies,New Mexico Highlands Cowboys,166,2424,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401811104,401811104,South Dakota Coyotes,Southern Indiana Screaming Eagles,233,88,True,True,KEEP_D1_VS_D1
401812284,401812284,Texas Longhorns,Fairleigh Dickinson Knights,251,161,True,True,KEEP_D1_VS_D1
401813288,401813288,Oklahoma State Cowboys,Prairie View A&M Panthers,197,2504,True,True,KEEP_D1_VS_D1
401813321,401813321,Marist Red Foxes,Vassar Brewers,2368,185,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401813348,401813348,Canisius Golden Griffins,Mercyhurst Lakers,2099,2385,True,True,KEEP_D1_VS_D1
401817143,401817143,George Washington Revolutionaries,American University Eagles,45,44,True,True,KEEP_D1_VS_D1
