event_id,team_id,game_datetime_utc,home_away,h1_pts,h2_pts,h1_pts_against,h2_pts_against,h1_margin,h2_margin,h1_ortg,h2_ortg,h1_drtg,h2_drtg,h1_pts_l5,h2_pts_l5,h1_pts_against_l5,h2_pts_against_l5,h1_margin_l5,h2_margin_l5,h1_pts_l10,h2_pts_l10,h1_pts_against_l10,h2_pts_against_l10,h1_margin_l10,h2_margin_l10,h2_comeback_rate,pipeline_run_id
401829503,2400,2026-02-22T00:30Z,home,36.0,36.0,34.0,37.0,2.0,-1.0,106.2,106.2,100.3,109.1,29.5,29.0,41.0,41.0,-11.5,-12.0,29.5,29.0,41.0,41.0,-11.5,-12.0,,22422478712
401827098,2400,2026-02-24T02:00Z,away,36.0,26.0,38.0,45.0,-2.0,-19.0,92.8,67.0,97.9,116.0,31.67,31.33,38.67,39.67,-7.0,-8.33,31.67,31.33,38.67,39.67,-7.0,-8.33,0.333,22422478712
401812075,2405,2026-02-20T00:00Z,away,31.0,38.0,36.0,43.0,-5.0,-5.0,86.5,106.0,100.4,120.0,,,,,,,,,,,,,,22422478712
401812080,2405,2026-02-21T21:00Z,away,35.0,28.0,39.0,35.0,-4.0,-7.0,106.1,84.9,118.3,106.1,31.0,38.0,36.0,43.0,-5.0,-5.0,31.0,38.0,36.0,43.0,-5.0,-5.0,,22422478712
401812083,2405,2026-02-27T00:00Z,home,,,,,,,,,,,33.0,33.0,37.5,39.0,-4.5,-6.0,33.0,33.0,37.5,39.0,-4.5,-6.0,,22422478712
401806492,2413,2026-02-20T01:30Z,away,29.0,44.0,28.0,42.0,1.0,2.0,88.7,134.6,85.7,128.5,,,,,,,,,,,,,,22422478712
401806500,2413,2026-02-21T21:30Z,away,43.0,38.0,27.0,32.0,16.0,6.0,134.4,118.8,84.4,100.0,29.0,44.0,28.0,42.0,1.0,2.0,29.0,44.0,28.0,42.0,1.0,2.0,,22422478712
401806502,2413,2026-02-25T00:30Z,home,29.0,35.0,29.0,34.0,0.0,1.0,98.8,119.3,98.8,115.9,36.0,41.0,27.5,37.0,8.5,4.0,36.0,41.0,27.5,37.0,8.5,4.0,,22422478712
401806504,2413,2026-02-27T01:00Z,away,,,,,,,,,,,33.67,39.0,28.0,36.0,5.67,3.0,33.67,39.0,28.0,36.0,5.67,3.0,0.667,22422478712
401828694,2415,2026-02-17T00:00Z,away,30.0,46.0,51.0,29.0,-21.0,17.0,82.1,125.8,139.5,79.3,,,,,,,,,,,,,,22422478712
401828715,2415,2026-02-21T22:00Z,home,34.0,48.0,33.0,35.0,1.0,13.0,94.6,133.6,91.8,97.4,30.0,46.0,51.0,29.0,-21.0,17.0,30.0,46.0,51.0,29.0,-21.0,17.0,,22422478712
401861277,2415,2026-02-25T23:00Z,away,42.0,11.0,40.0,8.0,2.0,3.0,174.0,45.6,165.7,33.1,32.0,47.0,42.0,32.0,-10.0,15.0,32.0,47.0,42.0,32.0,-10.0,15.0,,22422478712
401828242,242,2026-02-22T19:00Z,away,33.0,42.0,36.0,45.0,-3.0,-3.0,94.6,120.3,103.2,128.9,,,,,,,,,,,,,,22422478712
401828247,242,2026-02-26T01:00Z,home,,,,,,,,,,,33.0,42.0,36.0,45.0,-3.0,-3.0,33.0,42.0,36.0,45.0,-3.0,-3.0,,22422478712
401820174,2426,2026-02-19T00:00Z,home,32.0,40.0,20.0,29.0,12.0,11.0,98.9,123.6,61.8,89.6,,,,,,,,,,,,,,22422478712
401820175,2426,2026-02-21T18:30Z,away,43.0,38.0,27.0,36.0,16.0,2.0,137.4,121.4,86.3,115.0,32.0,40.0,20.0,29.0,12.0,11.0,32.0,40.0,20.0,29.0,12.0,11.0,,22422478712
401820176,2426,2026-02-26T00:00Z,away,43.0,,25.0,,18.0,,328.2,,190.8,,37.5,39.0,23.5,32.5,14.0,6.5,37.5,39.0,23.5,32.5,14.0,6.5,,22422478712
401823952,2427,2026-02-20T00:00Z,away,19.0,29.0,32.0,42.0,-13.0,-13.0,59.6,91.0,100.4,131.8,,,,,,,,,,,,,,22422478712
401823956,2427,2026-02-21T21:30Z,home,32.0,34.0,33.0,33.0,-1.0,1.0,92.5,98.3,95.4,95.4,19.0,29.0,32.0,42.0,-13.0,-13.0,19.0,29.0,32.0,42.0,-13.0,-13.0,,22422478712
401823959,2427,2026-02-27T00:00Z,away,,,,,,,,,,,25.5,31.5,32.5,37.5,-7.0,-6.0,25.5,31.5,32.5,37.5,-7.0,-6.0,,22422478712
401828694,2428,2026-02-17T00:00Z,home,51.0,29.0,30.0,46.0,21.0,-17.0,143.7,81.7,84.5,129.6,,,,,,,,,,,,,,22422478712
401858787,2428,2026-02-19T01:00Z,away,30.0,42.0,36.0,49.0,-6.0,-7.0,91.5,128.1,109.8,149.5,51.0,29.0,30.0,46.0,21.0,-17.0,51.0,29.0,30.0,46.0,21.0,-17.0,,22422478712
401830243,2428,2026-02-21T17:00Z,away,26.0,41.0,42.0,58.0,-16.0,-17.0,73.9,116.5,119.4,164.9,40.5,35.5,33.0,47.5,7.5,-12.0,40.5,35.5,33.0,47.5,7.5,-12.0,,22422478712
401828233,2429,2026-02-19T01:00Z,away,30.0,44.0,41.0,38.0,-11.0,6.0,93.0,136.4,127.1,117.8,,,,,,,,,,,,,,22422478712
401828238,2429,2026-02-21T17:00Z,home,36.0,32.0,25.0,31.0,11.0,1.0,112.4,99.9,78.1,96.8,30.0,44.0,41.0,38.0,-11.0,6.0,30.0,44.0,41.0,38.0,-11.0,6.0,,22422478712
401828244,2429,2026-02-26T00:00Z,home,23.0,,22.0,,1.0,,210.2,,201.1,,33.0,38.0,33.0,34.5,0.0,3.5,33.0,38.0,33.0,34.5,0.0,3.5,,22422478712
401809374,2430,2026-02-19T00:00Z,away,36.0,41.0,45.0,46.0,-9.0,-5.0,104.7,119.2,130.8,133.7,,,,,,,,,,,,,,22422478712
401809380,2430,2026-02-21T21:00Z,home,36.0,39.0,39.0,48.0,-3.0,-9.0,109.8,118.9,118.9,146.3,36.0,41.0,45.0,46.0,-9.0,-5.0,36.0,41.0,45.0,46.0,-9.0,-5.0,,22422478712
401809386,2430,2026-02-27T00:00Z,away,,,,,,,,,,,36.0,40.0,42.0,47.0,-6.0,-7.0,36.0,40.0,42.0,47.0,-6.0,-7.0,,22422478712
401808676,2433,2026-02-19T00:30Z,home,37.0,39.0,35.0,42.0,2.0,-3.0,105.5,111.2,99.8,119.8,,,,,,,,,,,,,,22422478712
401808687,2433,2026-02-21T20:00Z,home,49.0,45.0,56.0,46.0,-7.0,-1.0,127.7,117.2,145.9,119.9,37.0,39.0,35.0,42.0,2.0,-3.0,37.0,39.0,35.0,42.0,2.0,-3.0,,22422478712
401808693,2433,2026-02-26T01:30Z,away,,,,,,,,,,,43.0,42.0,45.5,44.0,-2.5,-2.0,43.0,42.0,45.5,44.0,-2.5,-2.0,,22422478712
401818425,2437,2026-02-19T01:00Z,home,43.0,37.0,30.0,41.0,13.0,-4.0,132.6,114.1,92.5,126.5,,,,,,,,,,,,,,22422478712
401818434,2437,2026-02-26T00:00Z,away,22.0,,27.0,,-5.0,,194.3,,238.5,,43.0,37.0,30.0,41.0,13.0,-4.0,43.0,37.0,30.0,41.0,13.0,-4.0,,22422478712
401830831,2439,2026-02-19T04:00Z,home,39.0,47.0,47.0,44.0,-8.0,3.0,119.8,144.3,144.3,135.1,,,,,,,,,,,,,,22422478712
401820572,2439,2026-02-21T20:00Z,away,34.0,57.0,31.0,35.0,3.0,22.0,101.9,170.9,92.9,104.9,39.0,47.0,47.0,44.0,-8.0,3.0,39.0,47.0,47.0,44.0,-8.0,3.0,,22422478712
401823804,2439,2026-02-26T02:00Z,away,,,,,,,,,,,36.5,52.0,39.0,39.5,-2.5,12.5,36.5,52.0,39.0,39.5,-2.5,12.5,,22422478712
401829318,2440,2026-02-18T03:00Z,away,32.0,39.0,47.0,40.0,-15.0,-1.0,90.0,109.7,132.2,112.5,,,,,,,,,,,,,,22422478712
401829319,2440,2026-02-22T03:00Z,home,38.0,42.0,40.0,37.0,-2.0,5.0,117.1,129.5,123.3,114.1,32.0,39.0,47.0,40.0,-15.0,-1.0,32.0,39.0,47.0,40.0,-15.0,-1.0,,22422478712
401829320,2440,2026-02-25T04:00Z,home,23.0,44.0,23.0,37.0,0.0,7.0,66.0,126.3,66.0,106.2,35.0,40.5,43.5,38.5,-8.5,2.0,35.0,40.5,43.5,38.5,-8.5,2.0,,22422478712
401812409,2441,2026-02-20T00:00Z,home,32.0,32.0,30.0,21.0,2.0,11.0,98.0,98.0,91.9,64.3,,,,,,,,,,,,,,22422478712
401812330,2441,2026-02-22T00:00Z,away,55.0,29.0,39.0,38.0,16.0,-9.0,180.9,95.4,128.3,125.0,32.0,32.0,30.0,21.0,2.0,11.0,32.0,32.0,30.0,21.0,2.0,11.0,,22422478712
401858739,2441,2026-02-24T23:00Z,home,32.0,35.0,41.0,32.0,-9.0,3.0,103.2,112.8,132.2,103.2,43.5,30.5,34.5,29.5,9.0,1.0,43.5,30.5,34.5,29.5,9.0,1.0,,22422478712
