game_id,game_datetime_utc,home_team,away_team,pred_spread,home_spread_open,home_spread_current,clv_vs_open,clv_vs_close,actual_margin,covered,spread_error,model_confidence,game_tier
401827700,2026-02-25T02:00Z,Baylor Bears,Arizona Wildcats,-3.15,,-8.5,,-5.35,-7.0,False,-10.15,0.43,UNKNOWN
401827700,2026-02-25T02:00Z,Baylor Bears,Arizona Wildcats,-3.15,,-8.5,,-5.35,-7.0,False,-10.15,0.43,UNKNOWN
401827700,2026-02-25T02:00Z,Baylor Bears,Arizona Wildcats,-3.15,,-8.5,,-5.35,-7.0,False,-10.15,0.43,UNKNOWN
401827700,2026-02-25T02:00Z,Baylor Bears,Arizona Wildcats,-3.15,,-8.5,,-5.35,-7.0,False,-10.15,0.43,UNKNOWN
401827703,2026-02-25T02:00Z,TCU Horned Frogs,Arizona State Sun Devils,-3.15,,-6.5,,-3.35,12.0,True,8.85,0.43,UNKNOWN
401827703,2026-02-25T02:00Z,TCU Horned Frogs,Arizona State Sun Devils,-3.15,,-6.5,,-3.35,12.0,True,8.85,0.43,UNKNOWN
401827703,2026-02-25T02:00Z,TCU Horned Frogs,Arizona State Sun Devils,-3.15,,-6.5,,-3.35,12.0,True,8.85,0.43,UNKNOWN
401827703,2026-02-25T02:00Z,TCU Horned Frogs,Arizona State Sun Devils,-3.15,,-6.5,,-3.35,12.0,True,8.85,0.43,UNKNOWN
401827705,2026-02-25T02:00Z,Utah Utes,Iowa State Cyclones,-3.15,,-14.5,,-11.35,-16.0,False,-19.15,0.43,UNKNOWN
401827705,2026-02-25T02:00Z,Utah Utes,Iowa State Cyclones,-3.15,,-14.5,,-11.35,-16.0,False,-19.15,0.43,UNKNOWN
401827705,2026-02-25T02:00Z,Utah Utes,Iowa State Cyclones,-3.15,,-14.5,,-11.35,-16.0,False,-19.15,0.43,UNKNOWN
401827705,2026-02-25T02:00Z,Utah Utes,Iowa State Cyclones,-3.15,,-14.5,,-11.35,-16.0,False,-19.15,0.43,UNKNOWN
401825539,2026-02-25T04:00Z,UCLA Bruins,USC Trojans,-3.15,,-5.5,,-2.35,19.0,True,15.85,0.41,HIGH
401825539,2026-02-25T04:00Z,UCLA Bruins,USC Trojans,-3.15,,-5.5,,-2.35,19.0,True,15.85,0.41,HIGH
401825539,2026-02-25T04:00Z,UCLA Bruins,USC Trojans,-3.15,,-5.5,,-2.35,19.0,True,15.85,0.41,HIGH
401825539,2026-02-25T04:00Z,UCLA Bruins,USC Trojans,-3.15,,-5.5,,-2.35,19.0,True,15.85,0.41,HIGH
401827701,2026-02-25T04:00Z,BYU Cougars,UCF Knights,-3.15,,-12.5,,-9.35,-13.0,False,-16.15,0.43,UNKNOWN
401827701,2026-02-25T04:00Z,BYU Cougars,UCF Knights,-3.15,,-12.5,,-9.35,-13.0,False,-16.15,0.43,UNKNOWN
401827701,2026-02-25T04:00Z,BYU Cougars,UCF Knights,-3.15,,-12.5,,-9.35,-13.0,False,-16.15,0.43,UNKNOWN
401827701,2026-02-25T04:00Z,BYU Cougars,UCF Knights,-3.15,,-12.5,,-9.35,-13.0,False,-16.15,0.43,UNKNOWN
401829320,2026-02-25T04:00Z,Nevada Wolf Pack,New Mexico Lobos,-3.15,,-1.5,,1.65,7.0,True,3.85,0.43,UNKNOWN
401829320,2026-02-25T04:00Z,Nevada Wolf Pack,New Mexico Lobos,-3.15,,-1.5,,1.65,7.0,True,3.85,0.43,UNKNOWN
401829320,2026-02-25T04:00Z,Nevada Wolf Pack,New Mexico Lobos,-3.15,,-1.5,,1.65,7.0,True,3.85,0.43,UNKNOWN
401829320,2026-02-25T04:00Z,Nevada Wolf Pack,New Mexico Lobos,-3.15,,-1.5,,1.65,7.0,True,3.85,0.43,UNKNOWN
