team_id,team,conference,wins,losses,home_wins,home_losses,away_wins,away_losses,neutral_wins,q1_wins,q1_losses,q2_wins,q2_losses,road_wins,q1_win_pct,wab,resume_score,updated_at,sos_rank
2006,Akron Zips,Mid-American Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.06,58.0,2026-03-05T04:55:18Z,273
2010,Alabama A&M Bulldogs,Southwestern Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.7,45.7,2026-03-05T04:55:18Z,226
2011,Alabama State Hornets,Southwestern Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-7.54,41.7,2026-03-05T04:55:18Z,160
2016,Alcorn State Braves,Southwestern Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.54,18.0,2026-03-05T04:55:18Z,365
2026,App State Mountaineers,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.02,55.8,2026-03-05T04:55:18Z,144
2029,Arkansas-Pine Bluff Golden Lions,Southwestern Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.16,24.7,2026-03-05T04:55:18Z,359
2031,Little Rock Trojans,Ohio Valley Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.72,50.0,2026-03-05T04:55:18Z,118
2032,Arkansas State Red Wolves,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.25,61.7,2026-03-05T04:55:18Z,333
2046,Austin Peay Governors,ASUN Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.39,56.2,2026-03-05T04:55:18Z,206
2050,Ball State Cardinals,Mid-American Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.66,28.9,2026-03-05T04:55:18Z,302
2057,Belmont Bruins,Missouri Valley Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.96,78.7,2026-03-05T04:55:18Z,49
2065,Bethune-Cookman Wildcats,Southwestern Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.22,37.3,2026-03-05T04:55:18Z,152
2066,Binghamton Bearcats,America East Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-11.06,13.4,2026-03-05T04:55:18Z,307
2083,Bucknell Bison,Patriot League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.1,33.2,2026-03-05T04:55:18Z,315
2084,Buffalo Bulls,Mid-American Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.53,46.7,2026-03-05T04:55:18Z,281
2086,Butler Bulldogs,Big East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.17,63.6,2026-03-05T04:55:18Z,239
2097,Campbell Fighting Camels,Colonial Athletic Association,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.91,52.3,2026-03-05T04:55:18Z,253
2099,Canisius Golden Griffins,Metro Atlantic Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-7.25,35.1,2026-03-05T04:55:18Z,120
2110,Central Arkansas Bears,ASUN Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,52.3,2026-03-05T04:55:18Z,155
2115,Central Connecticut Blue Devils,Northeast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.61,49.0,2026-03-05T04:55:18Z,203
2116,UCF Knights,Big 12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.08,69.6,2026-03-05T04:55:18Z,209
2117,Central Michigan Chippewas,Mid-American Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.82,55.6,2026-03-05T04:55:18Z,11
2127,Charleston Southern Buccaneers,Big South Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.35,57.2,2026-03-05T04:55:18Z,170
2130,Chicago State Cougars,Northeast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-6.73,38.6,2026-03-05T04:55:18Z,122
2132,Cincinnati Bearcats,Big 12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.95,71.1,2026-03-05T04:55:18Z,50
2142,Colgate Raiders,Patriot League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.21,63.9,2026-03-05T04:55:18Z,13
2154,Coppin State Eagles,Mid-Eastern Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-8.42,39.6,2026-03-05T04:55:18Z,42
2166,Davidson Wildcats,Atlantic 10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.74,64.6,2026-03-05T04:55:18Z,142
2168,Dayton Flyers,Atlantic 10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.87,75.3,2026-03-05T04:55:18Z,169
2169,Delaware State Hornets,Mid-Eastern Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-10.57,16.1,2026-03-05T04:55:18Z,355
2172,Denver Pioneers,Summit League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.93,47.7,2026-03-05T04:55:18Z,338
2174,Detroit Mercy Titans,Horizon League,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.06,50.5,2026-03-05T04:55:18Z,272
2181,Drake Bulldogs,Missouri Valley Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21,64.7,2026-03-05T04:55:18Z,55
2182,Drexel Dragons,Colonial Athletic Association,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.16,55.6,2026-03-05T04:55:18Z,29
2184,Duquesne Dukes,Atlantic 10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.93,57.9,2026-03-05T04:55:18Z,173
2193,East Tennessee State Buccaneers,Southern Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.44,64.8,2026-03-05T04:55:18Z,64
2197,Eastern Illinois Panthers,Ohio Valley Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.41,35.7,2026-03-05T04:55:18Z,109
2198,Eastern Kentucky Colonels,ASUN Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.65,31.3,2026-03-05T04:55:18Z,330
2199,Eastern Michigan Eagles,Mid-American Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.84,51.8,2026-03-05T04:55:18Z,141
2210,Elon Phoenix,Colonial Athletic Association,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.52,66.2,2026-03-05T04:55:18Z,39
2217,Fairfield Stags,Metro Atlantic Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.71,45.7,2026-03-05T04:55:18Z,255
2226,Florida Atlantic Owls,American Athletic Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.93,56.0,2026-03-05T04:55:18Z,242
2229,Florida International Panthers,Conference USA,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.46,55.6,2026-03-05T04:55:18Z,83
2230,Fordham Rams,Atlantic 10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.16,51.2,2026-03-05T04:55:18Z,343
2239,Cal State Fullerton Titans,Big West Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.57,53.9,2026-03-05T04:55:18Z,30
2241,Gardner-Webb Runnin' Bulldogs,Big South Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-8.61,34.3,2026-03-05T04:55:18Z,249
2244,George Mason Patriots,Atlantic 10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.18,75.1,2026-03-05T04:55:18Z,31
2247,Georgia State Panthers,Sun Belt Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.12,39.6,2026-03-05T04:55:18Z,337
2250,Gonzaga Bulldogs,West Coast Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,16.12,86.8,2026-03-05T04:55:18Z,8
2253,Grand Canyon Lopes,Mountain West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.12,47.8,2026-03-05T04:55:18Z,364
2261,Hampton Pirates,Colonial Athletic Association,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.95,43.7,2026-03-05T04:55:18Z,92
2272,High Point Panthers,Big South Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.75,69.4,2026-03-05T04:55:18Z,219
2275,Hofstra Pride,Colonial Athletic Association,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.63,52.2,2026-03-05T04:55:18Z,190
2277,Houston Christian Huskies,Southland Conference,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.54,58.4,2026-03-05T04:55:18Z,215
