game_id,event_id,team_id,opponent_id,home_away,date,game_datetime_utc,season,ODI_star,PEI,POSW,SVI,PXP,LNS,USEF,DPC,FII,SME,SCH,VOL,TC,WL,RFD,GSR,ALT,metric_status_ODI,metric_status_PEI,metric_status_POSW,metric_status_SVI,metric_status_PXP,metric_status_LNS,metric_status_USEF,metric_status_DPC,metric_status_FII,metric_status_SME,metric_status_SCH,metric_status_VOL,metric_status_TC,metric_status_WL,metric_status_RFD,metric_status_GSR,metric_status_ALT
401826968,401826968,2241,2822,home,2025-11-11,2025-11-11 00:00:00+00:00,2026,,,,-0.05777448466522808,,,,-4.715107462686567,-0.2663009656652361,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401826968,401826968,2822,2241,away,2025-11-11,2025-11-11 00:00:00+00:00,2026,,,,2.266183292719324,,,,4.904269205155327,-0.3287455413031289,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401827526,401827526,2448,2569,home,2025-11-11,2025-11-11 00:00:00+00:00,2026,,,,-0.017343469026357416,,,,-2.8977076923076948,-0.2907920800399293,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401827526,401827526,2569,2448,away,2025-11-11,2025-11-11 00:00:00+00:00,2026,,,,-1.3578447152358657,,,,-7.630615730337077,-0.232408982847712,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401828914,401828914,2565,282,home,2025-11-11,2025-11-11 00:00:00+00:00,2026,,,,-2.764191840053238,,,,-4.882327536231883,-0.1894340109702199,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401828914,401828914,282,2565,away,2025-11-11,2025-11-11 00:00:00+00:00,2026,,,,-0.5389962057246631,,,,-1.575607462686566,-0.2221992054483541,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401828905,401828905,2181,2564,home,2025-11-11,2025-11-11 00:30:00+00:00,2026,,,,1.2156505846090253,,,,0.4688000000000001,-0.3130692167577413,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401828905,401828905,2564,2181,away,2025-11-11,2025-11-11 00:30:00+00:00,2026,,,,-1.6173645309525033,,,,-0.8437857142857165,-0.143438997256853,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401829443,401829443,128256,2377,away,2025-11-11,2025-11-11 00:30:00+00:00,2026,,,,-1.191613055834476,,,,3.426999999999999,-0.1546410651585615,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401829443,401829443,2377,128256,home,2025-11-11,2025-11-11 00:30:00+00:00,2026,,,,2.268600443669438,,,,-0.9729063829787249,-0.4780192264699308,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401830124,401830124,2433,2892,home,2025-11-11,2025-11-11 00:30:00+00:00,2026,,,,0.41987493904174816,,,,-4.096274999999999,-0.2851282887584258,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401830124,401830124,2892,2433,away,2025-11-11,2025-11-11 00:30:00+00:00,2026,,,,-2.70257693273288,,,,-0.12981888111888165,-0.1569928549663087,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401808892,401808892,2443,99,away,2025-11-11,2025-11-11 01:00:00+00:00,2026,,,,-2.1069268774712206,,,,-6.1302714285714295,-0.191895798010507,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401808892,401808892,99,2443,home,2025-11-11,2025-11-11 01:00:00+00:00,2026,,,,0.02453285474415423,,,,-2.1340826086956493,-0.3234881078506437,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401812251,401812251,2320,2628,away,2025-11-11,2025-11-11 01:00:00+00:00,2026,,,,-1.276256032480982,,,,-1.9336187500000004,-0.2456029492183817,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
401812251,401812251,2628,2320,home,2025-11-11,2025-11-11 01:00:00+00:00,2026,,,,0.7102385589151708,,,,-4.935907874015747,-0.3346249722778368,,,,,,,,,BLOCKED_MISSING_INPUT:opp_eFG,BLOCKED_MISSING_INPUT:opp_ORB%,BLOCKED_MISSING_INPUT:PEI,OK,BLOCKED_MISSING_INPUT:ICS,BLOCKED_MISSING_INPUT:lns_player,BLOCKED_MISSING_INPUT:SIE,OK,OK,"BLOCKED_MISSING_INPUT:missing_columns=star_rim_rate,star_midrange_rate,star_post_ups,opp3p_allowed,opp_rim_fg_allowed,opp_mid_fg_allowed,opp_post_ups_allowed",BLOCKED_MISSING_INPUT:opp_FTr,BLOCKED_MISSING_INPUT:VOL_l8_std,BLOCKED_MISSING_INPUT:z_pace_abs_dev_l12_mean,BLOCKED_MISSING_INPUT:z_ftr_diff,BLOCKED_MISSING_INPUT:days_rest_home,BLOCKED_MISSING_INPUT:spread_magnitude,BLOCKED_MISSING_INPUT:elevation_home
