event_id,game_datetime_utc,home_team_id,away_team_id,home_team_name,away_team_name,book,opening_spread,closing_spread,spread_line,opening_total,closing_total,total_line,moneyline_home,moneyline_away,source,source_file,source_priority,captured_at_utc,line_timestamp_utc,market_status
401825568,,130,127,Michigan Wolverines,Michigan State Spartans,consensus,,-9.5,-9.5,,150.5,150.5,,,ESPN,market_lines_master.csv,4,2026-03-08 15:32:56.683403+00:00,2026-03-08 15:32:56.683403+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,odds_snapshot.csv,1,2026-03-09 05:49:50.081758+00:00,2026-03-09 05:49:50.081758+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,market_lines.csv,2,2026-03-09 05:49:50.081758+00:00,2026-03-09 05:49:50.081758+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,market_lines_master.csv,4,2026-03-09 05:49:50.081758+00:00,2026-03-09 05:49:50.081758+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,market_lines_latest.csv,0,2026-03-09 05:49:50+00:00,2026-03-09 05:49:50+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,market_lines_closing.csv,3,2026-03-09 05:49:50+00:00,2026-03-09 05:49:50+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,odds_snapshot.csv,1,2026-03-08 22:33:49.072870+00:00,2026-03-08 22:33:49.072870+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,market_lines.csv,2,2026-03-08 22:33:49.072870+00:00,2026-03-08 22:33:49.072870+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,market_lines_master.csv,4,2026-03-08 22:33:49.072870+00:00,2026-03-08 22:33:49.072870+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,odds_snapshot.csv,1,2026-03-08 21:32:12.174858+00:00,2026-03-08 21:32:12.174858+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,market_lines.csv,2,2026-03-08 21:32:12.174858+00:00,2026-03-08 21:32:12.174858+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,,,,,,,,ESPN,market_lines_master.csv,4,2026-03-08 21:32:12.174858+00:00,2026-03-08 21:32:12.174858+00:00,MISSING
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,136.5,136.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 20:36:39.892350+00:00,2026-03-08 20:36:39.892350+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,136.5,136.5,,,ESPN,market_lines.csv,2,2026-03-08 20:36:39.892350+00:00,2026-03-08 20:36:39.892350+00:00,OK
