game_id,game_datetime_utc,home_team,away_team,home_team_id,away_team_id,pred_spread,home_win_prob,signal_n_fired,signal_best_su,signal_best_holdout_su,signal_best_combo,signal_pick,signal_pick_side,model_pick,tracked_at,actual_margin,signal_correct,model_correct,home_score_actual,away_score_actual
401820784,2026-03-05T00:00:00Z,SMU Mustangs,Miami Hurricanes,2567,2390,-3.58,0.0008,1064,0.9015,0.898,FFC_L12_diff|MTI|PEQ_L4_diff,SMU Mustangs,home,Miami Hurricanes,2026-03-07T00:20:24Z,,,,,
401825555,2026-03-04T23:30:00Z,Indiana Hoosiers,Minnesota Golden Gophers,84,135,-10.77,0.1246,893,0.9191,0.8859,FFC_season_diff|MTI|WL_L12_diff,Indiana Hoosiers,home,Minnesota Golden Gophers,2026-03-07T00:20:24Z,,,,,
401851624,2026-03-07T02:30:00Z,North Dakota Fighting Hawks,Denver Pioneers,155,2172,-2.52,0.1869,599,0.8821,0.875,MTI|ODI_season_diff|WL_L12_diff,North Dakota Fighting Hawks,home,Denver Pioneers,2026-03-07T00:20:24Z,,,,,
401828732,2026-03-06T00:00:00Z,Norfolk State Spartans,Howard Bison,2450,47,-1.98,0.0198,339,0.9108,0.8345,FFC_L10_diff|MTI|WL_L10_diff,Norfolk State Spartans,home,Howard Bison,2026-03-07T00:20:24Z,,,,,
401809103,2026-03-06T03:00:00Z,Cal State Fullerton Titans,UC San Diego Tritons,2239,28,-9.51,0.2953,321,0.8278,0.7959,FFC_season_diff|ODI_L12_diff|WL_L10_diff,Cal State Fullerton Titans,home,UC San Diego Tritons,2026-03-07T00:20:24Z,,,,,
401851349,2026-03-06T23:00:00Z,UNC Asheville Bulldogs,Longwood Lancers,2427,2344,-1.19,0.0173,310,0.9191,0.8859,FFC_season_diff|MTI|WL_L12_diff,UNC Asheville Bulldogs,home,Longwood Lancers,2026-03-07T00:20:24Z,,,,,
401828256,2026-03-05T00:00:00Z,Charlotte 49ers,UAB Blazers,2429,5,-1.94,0.4502,139,0.8133,0.8259,FFC_L12_diff|ODI_L4_diff|PXP_L12_diff,Charlotte 49ers,home,UAB Blazers,2026-03-07T00:20:24Z,,,,,
401828257,2026-03-06T00:00:00Z,East Carolina Pirates,Tulsa Golden Hurricane,151,202,3.17,0.1034,115,0.8752,0.8356,FFC_L4_diff|MTI|ODI_L7_diff,East Carolina Pirates,home,Tulsa Golden Hurricane,2026-03-07T00:20:24Z,,,,,
401818565,2026-03-07T00:00:00Z,Brown Bears,Pennsylvania Quakers,225,219,-3.76,0.0522,91,0.8925,0.8571,ANE_season_diff|MTI|SVI_season_diff,Brown Bears,home,Pennsylvania Quakers,2026-03-07T00:20:24Z,,,,,
401804960,2026-03-06T02:00:00Z,UTEP Miners,Kennesaw State Owls,2638,338,3.38,0.0059,34,0.7803,0.7561,DPC_L10_diff|DPC_L12_diff|MTI,UTEP Miners,home,Kennesaw State Owls,2026-03-07T00:20:24Z,,,,,
401804961,2026-03-06T01:00:00Z,Missouri State Bears,Western Kentucky Hilltoppers,2623,98,1.72,0.0026,16,0.8696,0.7914,FFC_L12_diff|FFC_season_diff|MTI,Missouri State Bears,home,Western Kentucky Hilltoppers,2026-03-07T00:20:24Z,,,,,
401814598,2026-03-06T23:30:00Z,Eastern Michigan Eagles,Bowling Green Falcons,2199,189,2.43,0.0146,13,0.8206,0.7727,DPC_L4_diff|MTI|PXP_L4_diff,Eastern Michigan Eagles,home,Bowling Green Falcons,2026-03-07T00:20:24Z,,,,,
401820782,2026-03-05T02:00:00Z,Notre Dame Fighting Irish,Stanford Cardinal,87,24,-1.72,0.2176,10,0.7958,0.7368,FFC_L12_diff|SCI,Notre Dame Fighting Irish,home,Stanford Cardinal,2026-03-07T00:20:24Z,,,,,
401825560,2026-03-06T01:00:00Z,Iowa Hawkeyes,Michigan Wolverines,2294,130,-3.51,0.098,2,0.7311,0.6736,PXP_L10_diff|SCI,Iowa Hawkeyes,home,Michigan Wolverines,2026-03-07T00:20:24Z,,,,,
