team_id,team,conference,wins,losses,home_wins,home_losses,away_wins,away_losses,neutral_wins,neutral_losses,avg_margin,avg_ortg,avg_drtg,avg_pace,ats_wins,ats_losses,ou_over,ou_under,avg_pred_spread_error,avg_clv,clv_positive_rate,avg_clv_edge_games,clv_sample_size,clv_grade,updated_at
2168,Dayton Flyers,3,1,0,1,0,0,0,0,0,12.0,123.7,104.6,63.1,,,,,,,,,,,2026-02-23T09:17:05Z
2174,Detroit Mercy Titans,45,1,0,1,0,0,0,0,0,5.0,133.0,125.7,68.4,,,,,,,,,,,2026-02-23T09:17:05Z
2184,Duquesne Dukes,3,0,1,0,0,0,1,0,0,-12.0,103.8,122.7,63.6,,,,,,,,,,,2026-02-23T09:17:05Z
2217,Fairfield Stags,13,1,0,1,0,0,0,0,0,10.0,113.9,99.3,68.5,,,,,,,,,,,2026-02-23T09:17:05Z
2230,Fordham Rams,3,1,0,1,0,0,0,0,0,4.0,108.0,101.2,58.3,,,,,,,,,,,2026-02-23T09:17:05Z
2275,Hofstra Pride,10,1,0,0,0,1,0,0,0,14.0,130.8,108.5,62.7,,,,,,,,,,,2026-02-23T09:17:05Z
2305,Kansas Jayhawks,8,0,1,0,1,0,0,0,0,-16.0,100.4,124.0,67.7,,,,,,,,,,,2026-02-23T09:17:05Z
2330,Le Moyne Dolphins,19,0,1,0,0,0,1,0,0,-9.0,96.4,109.1,70.6,,,,,,,,,,,2026-02-23T09:17:05Z
2349,UMass Lowell River Hawks,1,1,0,1,0,0,0,0,0,13.0,147.9,127.0,62.2,,,,,,,,,,,2026-02-23T09:17:05Z
2350,Loyola Chicago Ramblers,3,0,1,0,0,0,1,0,0,-14.0,92.2,113.4,66.2,,,,,,,,,,,2026-02-23T09:17:05Z
2363,Manhattan Jaspers,13,0,1,0,1,0,0,0,0,-14.0,111.7,134.0,62.7,,,,,,,,,,,2026-02-23T09:17:05Z
2368,Marist Red Foxes,13,1,0,0,0,1,0,0,0,14.0,131.2,109.3,64.0,,,,,,,,,,,2026-02-23T09:17:05Z
2378,UMBC Retrievers,1,1,0,1,0,0,0,0,0,4.0,110.5,103.8,59.7,,,,,,,,,,,2026-02-23T09:17:05Z
2382,Mercer Bears,24,1,0,1,0,0,0,0,0,3.0,129.0,124.6,69.0,,,,,,,,,,,2026-02-23T09:17:05Z
2385,Mercyhurst Lakers,19,1,0,1,0,0,0,0,0,8.0,131.4,119.9,69.2,,,,,,,,,,,2026-02-23T09:17:05Z
2390,Miami Hurricanes,2,0,1,0,0,0,1,0,0,-3.0,126.8,131.3,65.5,,,,,,,,,,,2026-02-23T09:17:05Z
2393,Middle Tennessee Blue Raiders,11,1,0,1,0,0,0,0,0,12.0,129.2,109.3,60.4,,,,,,,,,,,2026-02-23T09:17:05Z
2426,Navy Midshipmen,22,1,0,0,0,1,0,0,0,18.0,129.4,100.6,62.6,,,,,,,,,,,2026-02-23T09:17:05Z
2428,North Carolina Central Eagles,16,0,1,0,0,0,1,0,0,-33.0,95.2,142.1,70.4,,,,,,,,,,,2026-02-23T09:17:05Z
2429,Charlotte 49ers,62,1,0,1,0,0,0,0,0,12.0,106.2,87.4,64.0,,,,,,,,,,,2026-02-23T09:17:05Z
2449,North Dakota State Bison,49,1,0,1,0,0,0,0,0,36.0,125.6,78.0,75.6,,,,,,,,,,,2026-02-23T09:17:05Z
2473,Oakland Golden Grizzlies,45,0,1,0,1,0,0,0,0,-5.0,107.1,115.0,63.5,,,,,,,,,,,2026-02-23T09:17:05Z
2509,Purdue Boilermakers,7,1,0,1,0,0,0,0,0,29.0,147.6,101.6,63.0,,,,,,,,,,,2026-02-23T09:17:05Z
2520,Rider Broncs,13,0,1,0,1,0,0,0,0,-6.0,98.6,107.6,66.9,,,,,,,,,,,2026-02-23T09:17:05Z
2529,Sacred Heart Pioneers,13,0,1,0,0,0,1,0,0,-10.0,99.6,114.2,68.3,,,,,,,,,,,2026-02-23T09:17:05Z
2535,Samford Bulldogs,24,0,1,0,0,0,1,0,0,-3.0,122.6,126.9,70.1,,,,,,,,,,,2026-02-23T09:17:05Z
2561,Siena Saints,13,0,1,0,0,0,1,0,0,-7.0,115.1,126.3,62.6,,,,,,,,,,,2026-02-23T09:17:05Z
2565,SIU Edwardsville Cougars,20,0,1,0,0,0,1,0,0,-27.0,83.0,125.3,63.8,,,,,,,,,,,2026-02-23T09:17:05Z
2579,South Carolina Gamecocks,23,1,0,1,0,0,0,0,0,8.0,138.8,127.4,69.9,,,,,,,,,,,2026-02-23T09:17:05Z
2598,Saint Francis Red Flash,19,0,1,0,1,0,0,0,0,-9.0,88.2,102.4,63.5,,,,,,,,,,,2026-02-23T09:17:05Z
2599,St. John's Red Storm,4,1,0,1,0,0,0,0,0,29.0,109.3,70.2,74.1,,,,,,,,,,,2026-02-23T09:17:05Z
2603,Saint Joseph's Hawks,3,1,0,1,0,0,0,0,0,14.0,116.3,94.6,64.5,,,,,,,,,,,2026-02-23T09:17:05Z
2612,Saint Peter's Peacocks,13,0,1,0,0,0,1,0,0,-8.0,84.9,95.5,75.4,,,,,,,,,,,2026-02-23T09:17:05Z
2633,Tennessee Volunteers,23,1,0,0,0,1,0,0,0,4.0,110.9,104.4,62.2,,,,,,,,,,,2026-02-23T09:17:05Z
2634,Tennessee State Tigers,20,1,0,1,0,0,0,0,0,27.0,127.6,84.5,62.7,,,,,,,,,,,2026-02-23T09:17:05Z
2643,The Citadel Bulldogs,24,0,1,0,1,0,0,0,0,-21.0,99.9,129.0,72.1,,,,,,,,,,,2026-02-23T09:17:05Z
2670,VCU Rams,3,0,1,0,0,0,1,0,0,-13.0,98.6,115.7,76.1,,,,,,,,,,,2026-02-23T09:17:05Z
2678,VMI Keydets,24,0,1,0,1,0,0,0,0,-19.0,98.7,128.9,62.8,,,,,,,,,,,2026-02-23T09:17:05Z
2681,Wagner Seahawks,19,1,0,0,0,1,0,0,0,9.0,99.8,86.0,65.1,,,,,,,,,,,2026-02-23T09:17:05Z
2717,Western Carolina Catamounts,24,1,0,0,0,1,0,0,0,19.0,129.6,99.2,62.5,,,,,,,,,,,2026-02-23T09:17:05Z
2739,Green Bay Phoenix,45,1,0,0,0,1,0,0,0,5.0,118.5,110.4,61.6,,,,,,,,,,,2026-02-23T09:17:05Z
2752,Xavier Musketeers,4,0,1,0,0,0,1,0,0,-5.0,112.2,119.7,66.8,,,,,,,,,,,2026-02-23T09:17:05Z
2771,Merrimack Warriors,13,1,0,1,0,0,0,0,0,7.0,126.5,115.3,62.4,,,,,,,,,,,2026-02-23T09:17:05Z
112358,Long Island University Sharks,19,0,1,0,0,0,1,0,0,-8.0,120.6,132.3,68.8,,,,,,,,,,,2026-02-23T09:17:05Z
