kenpom_rank,team_name,conference,games,wins,losses,adj_o,adj_d,adj_em,barthag,seed,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,two_p_pct,two_pd_pct,three_p_pct,three_pd_pct,three_pr,three_prd,adj_tempo,wab
324,Cal St. Bakersfield,BW,32,8,24,101.7,117.3,-15.6,0.1618,,45.7,54.0,18.9,17.9,30.4,35.6,42.2,42.6,46.6,53.9,29.0,36.0,28.9,39.0,70.0,-18.1
325,Loyola MD,Pat,32,12,20,103.5,119.5,-16.0,0.1616,,50.4,54.7,15.5,15.3,27.6,29.0,29.9,32.7,51.9,58.3,32.6,32.8,47.2,39.6,68.2,-16.8
326,Bucknell,Pat,33,10,23,98.8,114.1,-15.3,0.1606,,48.5,54.7,19.0,17.9,27.0,31.3,29.8,35.3,50.4,54.1,30.6,37.0,42.7,45.7,67.1,-18.2
327,Little Rock,OVC,32,12,20,101.1,116.8,-15.7,0.1594,,49.4,51.8,18.4,18.5,31.5,36.6,27.7,33.1,47.9,51.9,35.3,34.4,31.0,40.3,66.5,-16.4
328,North Florida,ASun,32,7,25,106.9,123.8,-16.9,0.1566,,52.9,56.3,17.9,12.7,25.2,37.6,28.8,31.4,53.4,58.7,35.0,35.1,51.7,39.0,70.5,-19.0
329,New Haven,NEC,31,14,17,96.0,111.6,-15.6,0.1504,,48.7,51.8,17.8,17.1,21.5,26.8,31.7,27.7,51.0,52.1,30.2,34.3,39.8,38.4,63.4,-13.1
330,Eastern Illinois,OVC,33,13,20,96.7,112.6,-15.9,0.1472,,45.7,50.8,18.6,19.3,28.2,35.2,33.5,35.3,44.9,53.1,31.7,31.7,29.9,41.2,65.6,-15.2
331,Norfolk St.,MEAC,32,15,17,101.2,118.3,-17.1,0.1424,,49.3,51.7,18.7,18.8,32.5,32.3,43.5,45.3,48.4,54.4,34.2,32.0,30.6,41.6,68.1,-13.4
332,Jackson St.,SWAC,33,12,21,100.9,118.2,-17.3,0.1399,,45.7,53.0,19.4,16.5,29.7,37.2,37.4,41.9,44.6,53.5,31.4,34.8,43.3,39.7,69.6,-13.9
333,Holy Cross,Pat,33,11,22,100.7,117.9,-17.2,0.1395,,49.8,54.8,15.3,14.1,21.9,27.0,31.5,27.6,50.4,57.2,32.5,34.0,37.3,39.0,65.4,-18.2
334,Manhattan,MAAC,32,12,20,103.6,121.6,-18.0,0.136,,47.9,53.9,15.6,16.7,28.6,37.0,34.0,25.7,47.8,53.3,32.0,36.6,37.1,38.0,68.0,-16.3
335,Niagara,MAAC,30,8,22,99.9,117.4,-17.5,0.1352,,50.5,52.8,18.9,16.6,24.8,32.9,26.6,33.8,50.5,52.7,33.7,35.3,40.5,40.4,62.2,-18.3
336,UTSA,Amer,30,5,25,100.5,118.1,-17.6,0.1352,,44.8,53.3,17.5,14.7,30.2,38.7,29.5,33.3,45.5,53.8,29.2,35.1,41.3,43.3,68.6,-18.7
337,Stonehill,NEC,33,12,21,92.0,108.4,-16.4,0.1315,,46.9,47.8,19.4,13.4,27.5,27.1,27.3,30.3,46.5,46.7,31.7,33.4,40.5,32.4,66.4,-17.6
338,North Alabama,ASun,30,9,21,99.9,118.0,-18.1,0.1286,,48.0,55.2,17.5,14.5,31.2,32.2,37.6,30.3,49.1,56.5,30.7,35.7,33.7,43.3,64.8,-17.1
339,Fairleigh Dickinson,NEC,32,11,21,100.6,119.0,-18.4,0.1261,,47.1,55.2,18.1,16.1,32.0,27.3,32.8,36.3,48.6,54.1,30.3,37.8,45.2,40.5,64.1,-16.7
340,Chicago St.,NEC,32,7,25,99.9,118.6,-18.7,0.1217,,45.3,56.7,15.6,20.1,28.3,35.0,30.0,38.0,44.0,60.0,32.1,35.6,30.9,50.8,65.6,-19.2
341,Army,Pat,32,11,21,99.7,118.5,-18.8,0.1207,,49.3,55.1,17.2,15.4,29.6,27.7,26.8,39.6,50.7,56.4,32.0,35.6,53.3,41.7,67.2,-17.4
342,Northern Illinois,MAC,30,9,21,95.7,113.8,-18.1,0.1204,,47.6,55.6,21.8,16.3,30.3,30.0,38.3,38.3,48.5,56.3,30.9,36.3,45.0,37.7,67.5,-15.4
343,Air Force,MWC,32,3,29,95.9,114.0,-18.1,0.1202,,48.9,56.4,21.9,15.1,21.4,31.3,35.1,36.6,51.1,56.3,30.6,37.6,41.8,38.8,66.3,-20.2
344,Alcorn St.,SWAC,32,9,23,97.2,115.7,-18.5,0.1194,,47.7,55.0,19.6,18.1,26.9,35.5,31.8,39.4,46.5,58.0,33.3,33.0,33.7,35.1,67.9,-16.4
345,Canisius,MAAC,31,10,21,95.6,114.0,-18.4,0.1164,,46.3,52.2,19.6,16.0,29.3,29.8,31.4,35.2,44.0,54.3,33.3,33.0,39.5,44.0,64.1,-17.6
346,Southern Indiana,OVC,30,7,23,95.9,114.6,-18.7,0.1149,,43.7,49.4,17.2,16.4,31.4,33.8,37.2,36.2,43.0,48.7,29.9,34.1,39.7,27.1,67.7,-20.3
347,The Citadel,SC,33,11,22,100.0,120.6,-20.6,0.1036,,49.5,57.5,16.3,14.7,27.9,31.5,30.0,33.3,51.0,59.6,32.0,36.6,47.8,44.1,64.2,-18.5
348,Louisiana Monroe,SB,32,4,28,101.1,122.3,-21.2,0.1008,,47.8,57.1,16.9,15.7,25.1,35.4,38.8,27.7,47.4,58.4,32.2,36.9,41.9,42.3,70.3,-23.2
349,Maine,AE,32,8,24,92.3,111.9,-19.6,0.0983,,49.6,50.6,19.1,19.4,19.7,34.3,38.4,33.9,51.2,54.5,31.2,29.3,37.0,36.8,64.7,-20.6
350,New Hampshire,AE,30,9,21,95.6,116.2,-20.6,0.0953,,46.7,53.4,16.5,15.8,25.7,26.9,28.5,35.8,47.4,54.6,30.5,34.3,43.1,36.9,67.4,-16.4
351,Saint Francis,NEC,31,7,24,100.5,122.5,-22.0,0.0939,,48.9,58.9,18.4,18.4,27.5,33.1,30.8,38.3,47.5,60.1,34.2,38.1,37.8,40.9,70.0,-19.4
352,North Carolina Central,MEAC,32,14,18,100.2,123.0,-22.8,0.0864,,47.5,54.5,18.1,19.9,30.0,39.4,39.3,36.9,46.7,54.5,32.6,36.4,33.9,40.6,65.7,-13.1
353,Morgan St.,MEAC,30,14,16,98.8,121.6,-22.8,0.0845,,45.8,51.7,17.8,16.5,30.7,35.2,42.7,50.9,44.9,53.7,31.7,31.5,35.2,31.9,70.5,-13.1
354,South Carolina St.,MEAC,32,10,22,95.4,117.4,-22.0,0.0845,,46.8,53.9,20.8,18.8,31.4,37.6,41.1,51.9,44.8,56.3,34.0,33.5,33.3,38.9,68.8,-17.4
355,Bryant,AE,31,9,22,96.7,120.1,-23.4,0.0762,,46.9,52.7,20.2,14.6,27.7,31.0,29.4,33.5,48.7,51.8,30.0,36.3,47.9,35.8,64.2,-17.9
356,Binghamton,AE,31,8,23,98.4,123.0,-24.6,0.0711,,50.0,54.3,18.8,13.3,20.9,29.4,41.5,34.6,50.6,54.7,32.5,35.8,30.9,39.2,65.5,-20.4
357,Maryland Eastern Shore,MEAC,32,9,23,93.1,116.5,-23.4,0.0711,,47.8,50.7,23.8,17.9,32.4,33.6,29.5,43.0,49.9,51.1,29.0,33.5,33.5,39.7,63.3,-17.7
358,Rider,MAAC,29,4,25,96.3,120.6,-24.3,0.0701,,42.8,55.2,16.9,15.3,32.6,32.8,30.1,32.5,43.3,54.0,27.7,37.9,27.5,39.9,65.7,-19.7
359,UMKC,Sum,31,4,27,93.2,117.5,-24.3,0.0651,,45.7,56.3,18.2,16.4,26.4,35.9,29.2,31.4,47.6,56.2,28.4,37.6,36.8,39.0,69.7,-21.5
360,VMI,SC,32,6,26,98.7,124.5,-25.8,0.065,,47.6,57.0,15.3,15.7,25.6,37.2,30.6,34.6,47.9,58.9,31.5,36.5,53.6,46.5,66.8,-22.3
361,Gardner Webb,BSth,33,4,29,95.4,122.1,-26.7,0.0554,,47.8,56.9,19.8,15.3,23.2,36.6,30.3,35.2,48.6,59.0,31.0,36.0,39.8,41.0,69.6,-23.2
363,Coppin St.,MEAC,31,7,24,91.7,119.5,-27.8,0.0456,,45.9,55.4,22.3,17.5,30.4,34.8,38.5,42.9,45.8,53.9,30.7,38.3,35.2,43.2,68.6,-19.2
364,Mississippi Valley St.,SWAC,33,3,30,91.1,120.9,-29.8,0.0371,,45.2,55.5,21.9,17.1,26.4,35.5,33.9,50.8,45.6,55.3,29.5,37.2,30.2,42.5,67.2,-24.8
365,Western Illinois,OVC,31,5,26,92.8,123.4,-30.6,0.0365,,44.5,54.2,17.5,14.9,27.0,34.8,37.7,34.8,43.5,54.6,30.9,35.6,33.3,34.6,66.5,-23.0
