kenpom_rank,team_name,conference,games,wins,losses,adj_o,adj_d,adj_em,barthag,seed,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,two_p_pct,two_pd_pct,three_p_pct,three_pd_pct,three_pr,three_prd,adj_tempo,wab
114,North Dakota St.,Sum,34,27,7,111.4,106.0,5.4,0.6391,14.0,53.4,51.5,15.6,18.7,33.6,25.7,30.7,29.1,53.2,52.6,35.7,33.5,42.7,44.4,66.4,-3.3
115,Utah,B12,32,10,22,114.9,109.4,5.5,0.6368,,52.0,53.9,16.7,13.3,29.3,31.6,31.7,29.9,51.5,54.6,35.3,35.1,37.5,33.8,66.3,-8.8
116,Hawaii,BW,32,24,8,106.9,101.8,5.1,0.6352,13.0,52.0,46.4,18.9,16.9,31.4,25.0,42.4,36.1,55.0,46.6,31.6,30.7,39.7,32.4,69.6,-3.7
117,Rutgers,B10,33,14,19,110.9,105.9,5.0,0.6297,,47.5,53.0,15.1,17.1,29.8,33.1,36.1,31.4,46.6,52.5,32.8,35.8,34.6,39.0,66.7,-5.3
118,George Mason,A10,32,23,9,110.8,105.8,5.0,0.6295,,53.1,49.4,15.9,15.6,31.1,28.3,41.1,28.6,54.7,49.8,33.4,32.5,35.4,42.7,63.6,-2.9
119,UT Rio Grande Valley,Slnd,33,19,14,111.3,106.5,4.8,0.6239,,54.8,47.8,18.5,16.3,28.2,32.1,28.9,38.9,54.5,49.2,36.8,30.4,43.7,38.2,66.4,-8.1
120,Liberty,CUSA,32,25,7,117.5,113.0,4.5,0.6126,,59.8,53.1,13.7,17.2,19.1,32.6,31.3,26.2,60.8,50.5,39.2,38.3,48.6,37.1,63.9,-2.2
121,UC San Diego,BW,34,23,11,106.2,102.2,4.0,0.609,,52.6,48.4,16.5,16.8,26.1,27.0,31.2,29.3,55.0,49.3,32.8,31.5,42.3,43.9,67.2,-5.8
122,Duquesne,A10,33,18,15,110.8,106.7,4.1,0.6081,,52.3,52.5,17.6,18.3,30.4,29.6,38.3,39.9,54.5,51.3,33.1,36.2,44.4,40.3,68.8,-7.5
123,Florida Atlantic,Amer,33,18,15,109.6,105.6,4.0,0.6038,,52.2,49.5,17.6,15.5,31.6,28.3,33.3,36.2,53.6,48.8,33.3,33.8,38.2,35.2,69.8,-8.3
124,San Francisco,WCC,33,17,16,113.3,109.3,4.0,0.601,,51.2,50.8,15.8,14.1,31.3,29.0,40.1,29.6,50.7,50.6,34.6,34.1,46.1,35.8,65.9,-7.0
125,UNC Wilmington,CAA,32,26,6,110.7,106.8,3.9,0.6001,,50.9,47.2,15.0,15.0,35.4,26.7,41.7,31.8,49.4,49.5,35.5,29.5,38.9,42.6,64.9,-2.8
126,Washington St.,WCC,32,12,20,114.3,110.5,3.8,0.5977,,54.7,52.6,18.4,14.6,29.5,28.2,30.2,33.0,54.6,52.4,36.5,35.4,44.8,36.7,67.9,-11.3
