as_of_date,conference,team,conf_w,conf_l,conf_pct,overall_w,overall_l,overall_pct,streak,generated_at,conference_name,pipeline_run_id
20260304,Big South Conference,Longwood Lancers,0,0,0,15,14,0.517,0,2026-03-04T22:22:32Z,Big South Conference,22692149656
20260304,,Louisiana Christian Wildcats,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Conference USA,Louisiana Tech Bulldogs,0,0,0,16,12,0.571,0,2026-03-04T22:22:32Z,Conference USA,22692149656
20260304,America East Conference,UMass Lowell River Hawks,0,0,0,13,16,0.448,0,2026-03-04T22:22:32Z,America East Conference,22692149656
20260304,Atlantic 10,Loyola Chicago Ramblers,0,0,0,6,21,0.222,0,2026-03-04T22:22:32Z,Atlantic 10,22692149656
20260304,West Coast Conference,Loyola Marymount Lions,0,0,0,12,16,0.429,0,2026-03-04T22:22:32Z,West Coast Conference,22692149656
20260304,Patriot League,Loyola Maryland Greyhounds,0,0,0,11,18,0.379,0,2026-03-04T22:22:32Z,Patriot League,22692149656
20260304,,Lyon Scots,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Metro Atlantic Athletic Conference,Manhattan Jaspers,0,0,0,11,19,0.367,0,2026-03-04T22:22:32Z,Metro Atlantic Athletic Conference,22692149656
20260304,Metro Atlantic Athletic Conference,Marist Red Foxes,0,0,0,18,10,0.643,0,2026-03-04T22:22:32Z,Metro Atlantic Athletic Conference,22692149656
20260304,,Tennessee Southern Firehawks,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,Marywood Pacers,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Southland Conference,McNeese Cowboys,0,0,0,25,4,0.862,0,2026-03-04T22:22:32Z,Southland Conference,22692149656
20260304,America East Conference,UMBC Retrievers,0,0,0,20,7,0.741,0,2026-03-04T22:22:32Z,America East Conference,22692149656
20260304,Mid-Eastern Athletic Conference,Maryland Eastern Shore Hawks,0,0,0,8,19,0.296,0,2026-03-04T22:22:32Z,Mid-Eastern Athletic Conference,22692149656
20260304,Southern Conference,Mercer Bears,0,0,0,18,11,0.621,0,2026-03-04T22:22:32Z,Southern Conference,22692149656
20260304,,Mercy Mavericks,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Northeast Conference,Mercyhurst Lakers,0,0,0,13,15,0.464,0,2026-03-04T22:22:32Z,Northeast Conference,22692149656
20260304,Atlantic Coast Conference,Miami Hurricanes,0,0,0,21,6,0.778,0,2026-03-04T22:22:32Z,Atlantic Coast Conference,22692149656
20260304,Conference USA,Middle Tennessee Blue Raiders,0,0,0,13,14,0.481,0,2026-03-04T22:22:32Z,Conference USA,22692149656
20260304,,Midwestern State Mustangs,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,Milligan Buffaloes,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Southwestern Athletic Conference,Mississippi Valley State Delta Devils,0,0,0,2,26,0.071,0,2026-03-04T22:22:32Z,Southwestern Athletic Conference,22692149656
20260304,,Molloy Lions,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Colonial Athletic Association,Monmouth Hawks,0,0,0,16,13,0.552,0,2026-03-04T22:22:32Z,Colonial Athletic Association,22692149656
20260304,Ohio Valley Conference,Morehead State Eagles,0,0,0,18,11,0.621,0,2026-03-04T22:22:32Z,Ohio Valley Conference,22692149656
20260304,Mid-Eastern Athletic Conference,Morgan State Bears,0,0,0,12,14,0.462,0,2026-03-04T22:22:32Z,Mid-Eastern Athletic Conference,22692149656
20260304,,New Mexico Highlands Cowboys,0,0,0,0,2,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Patriot League,Navy Midshipmen,0,0,0,24,5,0.828,0,2026-03-04T22:22:32Z,Patriot League,22692149656
20260304,Big South Conference,UNC Asheville Bulldogs,0,0,0,14,14,0.5,0,2026-03-04T22:22:32Z,Big South Conference,22692149656
20260304,Mid-Eastern Athletic Conference,North Carolina Central Eagles,0,0,0,12,14,0.462,0,2026-03-04T22:22:32Z,Mid-Eastern Athletic Conference,22692149656
20260304,American Athletic Conference,Charlotte 49ers,0,0,0,13,14,0.481,0,2026-03-04T22:22:32Z,American Athletic Conference,22692149656
20260304,Southern Conference,UNC Greensboro Spartans,0,0,0,13,16,0.448,0,2026-03-04T22:22:32Z,Southern Conference,22692149656
20260304,Sun Belt Conference,UL Monroe Warhawks,0,0,0,4,26,0.133,0,2026-03-04T22:22:32Z,Sun Belt Conference,22692149656
20260304,Summit League,Omaha Mavericks,0,0,0,15,14,0.517,0,2026-03-04T22:22:32Z,Summit League,22692149656
20260304,Mountain West,UNLV Rebels,0,0,0,15,13,0.536,0,2026-03-04T22:22:32Z,Mountain West,22692149656
20260304,Mountain West,Nevada Wolf Pack,0,0,0,17,11,0.607,0,2026-03-04T22:22:32Z,Mountain West,22692149656
20260304,Northeast Conference,New Haven Chargers,0,0,0,14,14,0.5,0,2026-03-04T22:22:32Z,Northeast Conference,22692149656
20260304,Southland Conference,New Orleans Privateers,0,0,0,13,17,0.433,0,2026-03-04T22:22:32Z,Southland Conference,22692149656
20260304,Southland Conference,Nicholls Colonels,0,0,0,13,16,0.448,0,2026-03-04T22:22:32Z,Southland Conference,22692149656
20260304,Colonial Athletic Association,North Carolina A&T Aggies,0,0,0,11,17,0.393,0,2026-03-04T22:22:32Z,Colonial Athletic Association,22692149656
20260304,Summit League,North Dakota State Bison,0,0,0,24,5,0.828,0,2026-03-04T22:22:32Z,Summit League,22692149656
20260304,Mid-Eastern Athletic Conference,Norfolk State Spartans,0,0,0,13,14,0.481,0,2026-03-04T22:22:32Z,Mid-Eastern Athletic Conference,22692149656
20260304,ASUN Conference,North Alabama Lions,0,0,0,8,19,0.296,0,2026-03-04T22:22:32Z,ASUN Conference,22692149656
20260304,ASUN Conference,North Florida Ospreys,0,0,0,7,23,0.233,0,2026-03-04T22:22:32Z,ASUN Conference,22692149656
20260304,Big Sky Conference,Northern Colorado Bears,0,0,0,18,11,0.621,0,2026-03-04T22:22:32Z,Big Sky Conference,22692149656
20260304,Mid-American Conference,Northern Illinois Huskies,0,0,0,8,19,0.296,0,2026-03-04T22:22:32Z,Mid-American Conference,22692149656
20260304,Missouri Valley Conference,Northern Iowa Panthers,0,0,0,18,12,0.6,0,2026-03-04T22:22:32Z,Missouri Valley Conference,22692149656
20260304,Big West Conference,Cal State Northridge Matadors,0,0,0,17,11,0.607,0,2026-03-04T22:22:32Z,Big West Conference,22692149656
20260304,Big Sky Conference,Northern Arizona Lumberjacks,0,0,0,9,20,0.31,0,2026-03-04T22:22:32Z,Big Sky Conference,22692149656
20260304,,Northwest University Eagles,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Southland Conference,Northwestern State Demons,0,0,0,10,19,0.345,0,2026-03-04T22:22:32Z,Southland Conference,22692149656
20260304,Horizon League,Oakland Golden Grizzlies,0,0,0,16,13,0.552,0,2026-03-04T22:22:32Z,Horizon League,22692149656
20260304,,Oakland City Mighty Oaks,0,0,0,0,2,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,Oglethorpe Stormy Petrels,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Big Ten,Oregon Ducks,0,0,0,9,19,0.321,0,2026-03-04T22:22:32Z,Big Ten,22692149656
20260304,,Paul Quinn Tigers,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
